frame_index,host_ts_ns,color_device_ts_ms,depth_device_ts_ms,fingertip_detected,fingertip_depth_valid,fingertip_depth_m,neighborhood_min_depth_m,neighborhood_max_depth_m,depth_reference_count,crop_x0,crop_y0
0,5941432901306,1789992484414.0386,1789992484707.3616,1,1,0.46889998815458966,0.46829998816974694,0.4707999881065916,6,399,145
1,5941454031850,1789992484666.597,1789992484707.3616,1,1,0.46889998815458966,0.46829998816974694,0.4707999881065916,6,399,145
2,5941496316973,1789992484702.7717,1789992484707.3616,1,1,0.4693999881419586,0.46829998816974694,0.471099988099013,6,403,143
3,5941978402103,1789992485216.7832,1789992485221.1316,1,1,0.2668999932575389,0.2643999933206942,0.4699999881268013,7,728,285
4,5942117185106,1789992485439.4707,1789992485443.6934,1,1,0.46979998813185375,0.2609999934065854,0.4695999881369062,7,732,213
5,5942197946021,1789992485476.7043,1789992485480.9065,1,1,0.2620999933787971,0.25999999343184754,0.2762999930200749,6,736,334
6,5942451597665,1789992485738.2944,1789992485742.3481,1,1,0.26139999339648057,0.2594999934444786,0.28329999284324003,6,774,355
7,5942687884250,1789992485980.1072,1789992485983.623,1,1,0.2601999934267951,0.2594999934444786,0.28399999282555655,6,782,354
8,5942709053920,1789992486014.094,1789992486017.5874,1,1,0.25979999343689997,0.25909999345458345,0.28379999283060897,6,782,354
9,5942876848897,1789992486218.0105,1789992486221.3674,1,1,0.262599993366166,0.26009999342932133,0.27979999293165747,7,815,392
10,5942957478708,1789992486251.9958,1789992486255.33,1,1,0.26639999327016994,0.2618999933838495,0.27769999298470793,8,849,431
11,5943123336629,1789992486455.9026,1789992486459.1003,1,1,0.26699999325501267,0.2617999933863757,0.2769999930023914,6,853,425
12,5943240129415,1789992486489.8862,1789992486493.0615,1,1,0.26869999321206706,0.2636999933383777,0.2787999929569196,8,885,447
13,5943395532965,1789992486727.7651,1789992486730.7812,1,1,0.2652999932979583,0.26149999339395436,0.2739999930781778,5,893,407
14,5943476124131,1789992486761.7468,1789992486764.7407,1,1,0.27039999316912144,0.2649999933055369,0.28089999290386913,8,946,455
15,5943639599252,1789992487001.879,1789992487004.747,1,1,0.27359999308828264,0.2659999932802748,0.27659999301249627,7,952,465
16,5943712180772,1789992487036.262,1789992487039.108,1,1,0.27209999312617583,0.26729999324743403,0.28219999287102837,8,998,459
17,5943983676423,1789992487277.0994,1789992487279.7874,1,1,0.2731999930983875,0.26809999322722433,0.2841999928205041,7,1039,441
18,5944140687185,1789992487483.747,1789992487486.2993,1,1,0.2716999931362807,0.2692999931969098,0.28649999276240123,8,1038,422
19,5944222000997,1789992487518.2075,1789992487520.7375,1,1,0.27609999302512733,0.2706999931615428,0.2843999928154517,7,1059,465
