frame_index,host_ts_ns,color_device_ts_ms,depth_device_ts_ms,fingertip_detected,fingertip_depth_valid,fingertip_depth_m,neighborhood_min_depth_m,neighborhood_max_depth_m,depth_reference_count,crop_x0,crop_y0
18,4632316395877,1789991181633.082,1789991181905.7942,1,1,0.26939999319438357,0.26409999332827283,0.2770999929998652,6,898,455
19,4632382810347,1789991181891.1035,1789991181905.7942,1,1,0.26939999319438357,0.26409999332827283,0.277199992997339,6,900,455
20,4632462015983,1789991181923.2954,1789991181937.9585,1,1,0.26949999319185736,0.2643999933206942,0.27899999295186717,7,919,457
21,4632606281842,1789991182116.162,1789991182130.6594,1,1,0.2699999931792263,0.26459999331564177,0.27839999296702445,6,925,455
22,4632676177932,1789991182148.259,1789991182162.729,1,1,0.2700999931767001,0.2650999933030107,0.2795999929367099,8,937,455
23,4632873115674,1789991182340.5574,1789991182354.8623,1,1,0.270599993164069,0.2651999933004845,0.2793999929417623,6,942,454
24,4632961036089,1789991182372.5596,1789991182386.8374,1,1,0.27099999315396417,0.265899993282801,0.27919999294681475,7,956,460
25,4633122692218,1789991182372.5596,1789991182643.9636,1,1,0.27269999311101856,0.26649999326764373,0.28009999292407883,7,965,458
26,4633197093194,1789991182597.6365,1789991182643.9636,1,1,0.27269999311101856,0.2665999932651175,0.28009999292407883,7,965,459
27,4633224323134,1789991182629.7898,1789991182643.9636,1,1,0.2723999931185972,0.2668999932575389,0.2809999929013429,8,985,464
28,4633371386920,1789991182822.4287,1789991182836.438,1,1,0.27279999310849234,0.26709999325248646,0.27979999293165747,6,984,458
29,4633460055021,1789991182854.488,1789991182868.4705,1,1,0.2730999931009137,0.2676999932373292,0.2812999928937643,7,1005,466
30,4633619124884,1789991183078.5276,1789991183092.3196,1,1,0.27429999307059916,0.26799999322975054,0.2809999929013429,7,1003,464
31,4633740393170,1789991183110.4795,1789991183124.2437,1,1,0.273899993080704,0.2682999932221719,0.28139999289123807,7,1027,469
32,4633891136412,1789991183110.4795,1789991183379.1653,1,1,0.27589999303017976,0.26959999318933114,0.28079999290639535,7,1029,467
33,4633920241420,1789991183333.7664,1789991183379.1653,1,1,0.2754999930402846,0.26959999318933114,0.2812999928937643,7,1035,470
34,4633973620410,1789991183365.6108,1789991183379.1653,1,1,0.2745999930630205,0.26959999318933114,0.2833999928407138,7,1057,472
35,4634104549752,1789991183562.0352,1789991183575.7957,1,1,0.2754999930402846,0.2700999931767001,0.2826999928583973,7,1060,469
36,4634209781217,1789991183594.673,1789991183608.4077,1,1,0.27499999305291567,0.27019999317417387,0.28399999282555655,7,1079,472
37,4634403133553,1789991183790.3289,1789991183803.913,1,1,0.2762999930200749,0.27109999315143796,0.2833999928407138,6,1078,469
38,4634458252556,1789991183822.9097,1789991183836.468,1,1,0.2763999930175487,0.2714999931413331,0.2842999928179779,7,1100,473
39,4634644355479,1789991184083.2622,1789991184096.6199,1,1,0.28139999289123807,0.2746999930604943,0.2841999928205041,7,1107,471
40,4634735508916,1789991184115.7695,1789991184129.1025,1,1,0.2794999929392361,0.27449999306554673,0.2867999927548226,7,1134,469
41,4634876794727,1789991184310.6426,1789991184323.825,1,1,0.27919999294681475,0.2745999930630205,0.2867999927548226,6,1133,463
42,4634968076455,1789991184343.0928,1789991184356.2505,1,1,0.28069999290892156,0.2745999930630205,0.2873999927396653,7,1154,482
43,4635142504423,1789991184540.037,1789991184553.2595,1,1,0.2833999928407138,0.27739999299228657,0.2876999927320867,7,1158,483
