sample_index,host_ts_ns,fz_N
0,4623261351081,1.255105729662894
1,4623262956390,1.2549587296628957
2,4623263632903,1.261256729662895
3,4623264437554,1.2612397296628952
4,4623265438309,1.2611147296628946
5,4623266381309,1.261097729662895
6,4623267405800,1.2674127296628956
7,4623268418690,1.2673957296628942
8,4623269438164,1.2673177296628957
9,4623270419881,1.2672537296628956
10,4623271412306,1.273615729662895
11,4623272398449,1.2735517296628949
12,4623273387131,1.2673047296628948
13,4623274410854,1.2672407296628947
14,4623275430283,1.2671637296628955
15,4623276416714,1.2734777296628952
16,4623277542983,1.2734607296628955
17,4623278498735,1.267166729662895
18,4623279467776,1.267089729662894
19,4623280515448,1.267089729662894
20,4623281737272,1.273387729662895
21,4623282581180,1.273387729662895
22,4623283507332,1.2733927296628949
23,4623284519270,1.2732677296628943
24,4623285525939,1.2796297296628953
25,4623286571414,1.279505729662894
26,4623287576307,1.2733197296628944
27,4623288563749,1.2795097296628946
28,4623289543370,1.2795577296628942
29,4623290590359,1.2794317296628943
30,4623291962941,1.2794797296628957
31,4623292579763,1.2730617296628957
32,4623293749036,1.2794837296628945
33,4623294563268,1.279359729662895
34,4623295742756,1.273043729662895
35,4623296597790,1.2792817296628947
36,4623297696576,1.2729887296628952
37,4623356945780,1.2729877296628942
38,4623357054235,1.272910729662895
39,4623357061635,1.2791007296628951
40,4623357067491,1.2727847296628951
41,4623357083043,1.2790827296628944
42,4623357089723,1.2789587296628948
43,4623357095541,1.2790047296628941
44,4623357101679,1.2788807296628946
45,4623357107461,1.2851947296628943
46,4623357113193,1.2788027296628943
47,4623357119071,1.285117729662895
48,4623357124385,1.2913077296628952
49,4623357130225,1.2849917296628952
50,4623357135799,1.2849357296628945
51,4623357141737,1.2786207296628955
52,4623357148139,1.2847507296628944
53,4623357154532,1.2847507296628944
54,4623357161331,1.2847497296628951
55,4623357167691,1.278331729662895
56,4623357174256,1.2846937296628944
57,4623357182903,1.2783787296628955
58,4623357189420,1.2845687296628956
59,4623357195951,1.2782757296628944
60,4623357277045,1.284589729662894
61,4623357297082,1.278089729662895
62,4623357309130,1.2844517296628943
63,4623357319867,1.290766729662895
64,4623357328179,1.284348729662895
65,4623357336095,1.2906627296628947
66,4623357343386,1.284347729662894
67,4623357350384,1.2780547296628946
68,4623357357553,1.2843687296628943
69,4623357364946,1.2843687296628943
70,4623357372495,1.2906237296628955
71,4623357379300,1.284329729662895
72,4623357386111,1.284329729662895
73,4623357393743,1.290644729662894
74,4623357400565,1.2780357296628946
75,4623357407024,1.277975729662895
76,4623357413907,1.277975729662895
77,4623357420975,1.277975729662895
78,4623357428924,1.277975729662895
