sample_index,host_ts_ns,fz_N
138,3706937674591,-2.9753620447368316
139,3706938662157,-2.975396044736831
140,3706939700695,-2.988085044736831
141,3706940632123,-2.988042044736831
142,3706941636501,-2.9943090447368323
143,3706942632557,-2.987951044736832
144,3706943657754,-2.994218044736831
145,3706944666981,-3.0067820447368323
146,3706945627423,-3.006794044736832
147,3706946648287,-3.013044044736832
148,3706947644942,-3.019359044736831
149,3706948647216,-3.019246044736832
150,3706949652113,-3.025474044736832
151,3706950642552,-3.0317410447368314
152,3706951635820,-3.0379690447368315
153,3706952631285,-3.037921044736832
154,3706953660595,-3.044149044736832
155,3706954709731,-3.050394044736832
156,3706955667851,-3.050286044736831
157,3706956658978,-3.056531044736831
158,3706957667095,-3.0563960447368324
159,3706958675807,-3.0688570447368306
160,3706959750615,-3.0688260447368307
161,3706961069142,-3.081287044736831
162,3706961714314,-3.087445044736832
163,3706962762787,-3.087401044736831
164,3706963773874,-3.0998530447368307
165,3706964692578,-3.099685044736832
166,3706966336097,-3.1121370447368317
167,3706966806953,-3.1182610447368315
168,3706967768614,-3.130761044736831
169,3706968759898,-3.130647044736831
170,3706969703275,-3.1430990447368323
171,3706970788839,-3.149202044736832
172,3706971706629,-3.149024044736832
173,3706972693014,-3.1613930447368315
174,3706973693267,-3.161327044736831
175,3706974672882,-3.1674430447368316
176,3706975687038,-3.1734980447368315
177,3706976707292,-3.179677044736831
178,3706977727017,-3.179417044736832
179,3706978709890,-3.191826044736832
180,3706979772706,-3.191566044736831
181,3706980734026,-3.203914044736832
182,3706981723912,-3.203778044736831
183,3706982727400,-3.2098110447368313
184,3706983727258,-3.2159270447368318
185,3706984724475,-3.221960044736832
186,3706985771194,-3.2217000447368314
187,3706986898437,-3.2278570447368313
188,3706987823126,-3.2403130447368316
189,3706988749743,-3.2400530447368308
190,3706989750099,-3.246086044736831
191,3706990750427,-3.2458860447368316
192,3706991778046,-3.258235044736832
193,3706993100919,-3.257974044736832
194,3706993812906,-3.2578990447368312
195,3706994867261,-3.263954044736831
196,3706995816247,-3.263694044736832
197,3706996838547,-3.263494044736831
198,3706997919508,-3.2695490447368307
199,3706998869713,-3.269310044736832
200,3706999815947,-3.275473044736831
201,3707000826744,-3.2752350447368315
202,3707001851790,-3.275056044736832
203,3707002891014,-3.281111044736832
204,3707003866419,-3.2872950447368314
205,3707004835108,-3.280824044736832
206,3707006026514,-3.2869480447368318
207,3707006834608,-3.286791044736832
208,3707007809977,-3.286536044736831
209,3707008802543,-3.286319044736832
210,3707009920797,-3.2925250447368306
211,3707010928425,-3.2860750447368314
212,3707011925759,-3.2858410447368307
213,3707012842553,-3.285646044736831
214,3707013871621,-3.2792440447368314
215,3707014812757,-3.2791560447368315
216,3707015865972,-3.272651044736831
217,3707042175615,-3.272564044736832
218,3707042261024,-3.2660590447368314
219,3707042267079,-3.265993044736831
220,3707042271774,-3.259488044736832
221,3707042275760,-3.2592970447368312
222,3707042279679,-3.259176044736831
223,3707042283250,-3.2464380447368306
224,3707042286084,-3.2463170447368324
225,3707042289381,-3.239941044736831
226,3707042292656,-3.239820044736831
227,3707042296272,-3.2460740447368313
228,3707042299044,-3.245889044736831
229,3707042302577,-3.2395820447368315
230,3707042305487,-3.2394180447368317
231,3707042308150,-3.2331120447368313
232,3707042311158,-3.2329480447368315
233,3707042314208,-3.2265170447368323
234,3707042316702,-3.226375044736832
235,3707042318968,-3.213710044736832
236,3707042321245,-3.2135940447368316
237,3707042323535,-3.2134990447368317
238,3707042326016,-3.213405044736831
239,3707042349993,-3.2070550447368316
240,3707042354559,-3.206982044736831
241,3707042357632,-3.206823044736831
242,3707042360455,-3.1941670447368313
243,3707042934349,-3.200323044736832
244,3707044257686,-3.1939830447368323
245,3707044893900,-3.1938450447368307
246,3707045882221,-3.1873330447368318
247,3707047068635,-3.193683044736831
248,3707047944855,-3.1872990447368323
249,3707049074420,-3.187209044736832
250,3707049938835,-3.193327044736831
251,3707054937010,-3.1869440447368316
252,3707054953978,-3.180560044736831
253,3707054958127,-3.180432044736831
254,3707054961621,-3.1741260447368322
255,3707054964710,-3.1740570447368306
256,3707055917529,-3.1676140447368315
257,3707057087667,-3.167546044736831
258,3707058033160,-3.161162044736832
259,3707059018103,-3.161034044736832
260,3707059957353,-3.154672044736831
261,3707061032212,-3.154604044736832
262,3707061941281,-3.154476044736832
263,3707062990454,-3.141799044736832
264,3707063932348,-3.147861044736832
265,3707065052522,-3.147793044736831
266,3707066058138,-3.135116044736831
267,3707067031565,-3.1413030447368318
268,3707067998798,-3.141234044736832
269,3707069216590,-3.1348120447368313
270,3707070059876,-3.1347440447368307
271,3707071079175,-3.1346160447368323
272,3707072047574,-3.128254044736831
273,3707076958004,-3.128125044736832
274,3707076981420,-3.115449044736831
275,3707076985495,-3.108980044736832
276,3707076989415,-3.1025360447368318
277,3707076992402,-3.102429044736832
278,3707078236138,-3.0960460447368323
279,3707079040891,-3.0896240447368317
280,3707086340179,-3.076887044736832
281,3707086386197,-3.0768190447368315
282,3707086395593,-3.0767120447368317
283,3707086446661,-3.070269044736831
284,3707086465057,-3.063847044736832
285,3707086469828,-3.0512350447368313
286,3707086474613,-3.0511670447368306
287,3707087027997,-3.044745044736832
288,3707088086819,-3.031987044736832
289,3707089173354,-3.0255660447368307
290,3707090032435,-3.0256220447368314
291,3707091023344,-3.019201044736832
292,3707091974248,-3.006442044736831
293,3707093056599,-3.000145044736831
294,3707094124130,-2.993703044736831
295,3707095113630,-2.9747760447368314
296,3707096152818,-2.974708044736831
297,3707097122569,-2.962096044736832
298,3707098073059,-2.955653044736831
299,3707099053110,-2.9429430447368308
300,3707100100186,-2.9366250447368323
301,3707101048344,-2.930242044736831
302,3707101993679,-2.9239240447368307
303,3707103110362,-2.905023044736831
304,3707104157167,-2.898581044736831
305,3707105105565,-2.892370044736831
306,3707106066952,-2.879613044736832
307,3707107101995,-2.879696044736832
308,3707108124616,-2.8670460447368313
309,3707109153877,-2.8669440447368313
310,3707110122241,-2.854419044736831
311,3707111100100,-2.8480030447368314
312,3707112114496,-2.8354780447368313
313,3707113071398,-2.829122044736831
314,3707114135184,-2.816597044736831
315,3707115170812,-2.810180044736832
316,3707116198477,-2.803971044736832
317,3707117144841,-2.7976140447368323
318,3707118201891,-2.7914520447368307
319,3707119190632,-2.778803044736831
320,3707120141346,-2.772495044736832
321,3707121180075,-2.766285044736831
322,3707122211389,-2.7599990447368317
323,3707123144654,-2.741207044736832
324,3707124148780,-2.7348730447368315
325,3707125158954,-2.7350260447368306
326,3707126183215,-2.7224250447368323
327,3707127193608,-2.7161980447368315
328,3707128177847,-2.7100360447368317
329,3707129206938,-2.703703044736832
330,3707130264088,-2.697541044736832
331,3707131260805,-2.6913800447368317
332,3707132228201,-2.672485044736831
333,3707133175865,-2.6663230447368313
334,3707134351608,-2.653821044736832
335,3707135231441,-2.641366044736831
336,3707136156730,-2.6287650447368307
337,3707137202739,-2.6226250447368322
338,3707138175246,-2.6101700447368312
339,3707139189463,-2.6040090447368307
340,3707140155291,-2.597745044736831
341,3707141193598,-2.5852900447368317
342,3707142186001,-2.572788044736832
343,3707143203495,-2.566648044736832
344,3707144592211,-2.5541330447368313
345,3707145149396,-2.5415540447368308
346,3707146189767,-2.5290990447368316
347,3707147246396,-2.5292750447368313
348,3707148212994,-2.516820044736832
349,3707149325922,-2.510680044736832
350,3707150206610,-2.5044810447368313
351,3707151213770,-2.4919780447368307
352,3707152211127,-2.479648044736832
353,3707153218692,-2.4734480447368323
354,3707154167157,-2.4546530447368315
355,3707155244743,-2.442138044736831
356,3707156246067,-2.4423900447368307
357,3707157199176,-2.4298280447368317
358,3707158207527,-2.4173730447368307
359,3707159190334,-2.411250044736832
360,3707160195349,-2.398795044736831
361,3707161258822,-2.3926730447368314
362,3707162233640,-2.386425044736832
363,3707163261560,-2.3740480447368313
364,3707164236306,-2.361485044736831
365,3707165259575,-2.3616770447368314
366,3707166191003,-2.349175044736832
367,3707167175598,-2.3430520447368313
368,3707168253643,-2.3369300447368317
369,3707169241350,-2.3306820447368306
370,3707170229015,-2.3183040447368306
371,3707171300754,-2.312181044736832
372,3707172219076,-2.2997180447368315
373,3707173207530,-2.293534044736832
374,3707174249574,-2.2810490447368323
375,3707175200971,-2.274878044736832
376,3707176227622,-2.2562240447368307
377,3707177245957,-2.256416044736831
378,3707178264114,-2.2439300447368318
379,3707179207037,-2.231466044736832
380,3707180208256,-2.218921044736831
381,3707181252378,-2.2128750447368315
382,3707182244350,-2.200410044736831
383,3707183236789,-2.187925044736831
384,3707184254455,-2.188134044736831
385,3707185261948,-2.1756700447368313
386,3707186213941,-2.169499044736831
387,3707187241497,-2.1570780447368314
388,3707188228175,-2.1509070447368313
389,3707189232839,-2.1385680447368323
390,3707190234536,-2.1323360447368316
391,3707191235161,-2.1262430447368317
