frame_index,host_ts_ns,color_device_ts_ms,depth_device_ts_ms,fingertip_detected,fingertip_depth_valid,fingertip_depth_m,neighborhood_min_depth_m,neighborhood_max_depth_m,depth_reference_count,crop_x0,crop_y0
0,3718609591059,1789987282558.9805,1789987282571.3118,1,1,0.25979999343689997,0.2586999934646883,0.26539999329543207,6,558,536
1,3718680415496,1789987282591.779,1789987282604.0862,1,1,0.25989999343437376,0.2595999934419524,0.26539999329543207,6,565,528
2,3718842748610,1789987282788.4766,1789987282800.643,1,1,0.2594999934444786,0.25929999344953103,0.2649999933055369,6,563,525
3,3718960451411,1789987282821.2437,1789987282833.386,1,1,0.2595999934419524,0.2595999934419524,0.2649999933055369,6,568,527
4,3719113302513,1789987283050.4875,1789987283062.4648,1,1,0.25999999343184754,0.25979999343689997,0.2650999933030107,6,570,534
5,3719219510839,1789987283083.2185,1789987283095.1726,1,1,0.2609999934065854,0.26059999341669027,0.2649999933055369,6,593,529
6,3719396597764,1789987283312.2217,1789987283324.1921,1,1,0.261199993401533,0.26139999339648057,0.26629999327269616,6,599,531
7,3719500797260,1789987283345.4192,1789987283357.3677,1,1,0.26249999336869223,0.26249999336869223,0.26649999326764373,6,631,529
8,3719665039068,1789987283579.5852,1789987283591.495,1,1,0.2641999933257466,0.262599993366166,0.26799999322975054,6,629,532
9,3719750151239,1789987283613.112,1789987283625.0012,1,1,0.2641999933257466,0.26319999335100874,0.26789999323227676,6,647,527
10,3719862838880,1789987283814.3562,1789987283826.1191,1,1,0.26379999333585147,0.2641999933257466,0.26889999320701463,6,642,525
11,3719913755260,1789987283847.911,1789987283859.6528,1,1,0.26459999331564177,0.25979999343689997,0.2683999932196457,7,665,527
12,3720079399774,1789987283982.1685,1789987283993.8264,1,1,0.2651999933004845,0.25909999345458345,0.269199993199436,8,668,532
13,3720149414381,1789987284015.743,1789987284027.3792,1,1,0.265899993282801,0.25979999343689997,0.2692999931969098,7,683,534
14,3720287951178,1789987284015.743,1789987284295.9478,1,1,0.26649999326764373,0.26489999330806313,0.2698999931817525,6,682,530
15,3720414913493,1789987284015.743,1789987284329.5369,1,1,0.26649999326764373,0.2652999932979583,0.2698999931817525,6,684,528
16,3720453554260,1789987284284.4797,1789987284329.5369,1,1,0.26649999326764373,0.2652999932979583,0.2698999931817525,6,684,528
17,3720558690778,1789987284485.2136,1789987284496.4287,1,1,0.26649999326764373,0.25909999345458345,0.27049999316659523,8,702,524
18,3720674279365,1789987284518.4702,1789987284529.6626,1,1,0.2659999932802748,0.25999999343184754,0.2708999931564904,8,719,521
19,3720874963681,1789987284753.465,1789987284764.6348,1,1,0.265899993282801,0.25929999344953103,0.27179999313375447,8,726,518
20,3720979971518,1789987284787.1243,1789987284798.2732,1,1,0.2666999932625913,0.2609999934065854,0.27209999312617583,8,748,519
21,3721050802883,1789987284787.1243,1789987285067.5347,1,1,0.26809999322722433,0.25989999343437376,0.27289999310596613,6,753,519
22,3721086232813,1789987284787.1243,1789987285101.2122,1,1,0.2692999931969098,0.26059999341669027,0.27339999309333507,6,753,522
23,3721220999551,1789987284787.1243,1789987285134.8928,1,1,0.2684999932171195,0.2604999934192165,0.2732999930958613,7,755,520
24,3721319143539,1789987285123.9548,1789987285134.8928,1,1,0.26869999321206706,0.2604999934192165,0.27359999308828264,7,753,520
25,3721372669289,1789987285123.9548,1789987285404.5012,1,1,0.2684999932171195,0.26169999338890193,0.27509999305038946,7,794,517
26,3721466366290,1789987285393.7317,1789987285404.5012,1,1,0.26939999319438357,0.2620999933787971,0.2748999930554419,7,796,523
27,3721559585422,1789987285427.4734,1789987285438.222,1,1,0.2700999931767001,0.26309999335353496,0.2753999930428108,8,822,523
28,3721715690902,1789987285662.5862,1789987285673.0442,1,1,0.27099999315396417,0.26299999335606117,0.27659999301249627,7,828,527
29,3721799039244,1789987285695.908,1789987285706.344,1,1,0.2713999931438593,0.26479999331058934,0.27679999300744385,8,851,526
30,3722061659200,1789987285865.1506,1789987285875.64,1,1,0.27179999313375447,0.2643999933206942,0.27759999298723415,7,854,525
31,3722113855369,1789987285899.0056,1789987285909.4731,1,1,0.27259999311354477,0.26559999329037964,0.27739999299228657,7,873,523
32,3722152335041,1789987285899.0056,1789987286180.2144,1,1,0.27279999310849234,0.2649999933055369,0.27909999294934096,6,874,522
33,3722218834497,1789987286169.9224,1789987286180.2144,1,1,0.27279999310849234,0.2649999933055369,0.27909999294934096,6,874,523
34,3722365439176,1789987286203.7964,1789987286214.067,1,1,0.27429999307059916,0.26709999325248646,0.27909999294934096,8,907,524
35,3722450688833,1789987286203.7964,1789987286484.9607,1,1,0.27499999305291567,0.2665999932651175,0.28009999292407883,7,907,522
36,3722525461250,1789987286203.7964,1789987286518.8325,1,1,0.27519999304786325,0.2665999932651175,0.2802999929190264,7,908,523
37,3722568510000,1789987286474.8672,1789987286518.8325,1,1,0.27519999304786325,0.2665999932651175,0.2802999929190264,7,908,523
38,3722658881445,1789987286508.7605,1789987286518.8325,1,1,0.2763999930175487,0.26799999322975054,0.280499992913974,8,935,521
39,3722775891082,1789987286712.1528,1789987286721.93,1,1,0.27519999304786325,0.2673999932449078,0.28139999289123807,7,937,518
